recordId,Title,type of object,Category,Person / organisation - Role,Date / Period,Place,Association,Material /Technique,Accession number,Museum department,object_url
387028,Attic red-figure pottery krater depicting a mythological scene,container > vessel > mixing vessel > krater > volute-krater,ceramics, - ,"475 BCE - 425 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1896-1908.G.275,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-387028
387040,Attic red-figure Kerch style pottery pelike depicting a mythological scene,container > vessel > storage vessel > pelike,ceramics,The Amazon Painter - artist,"350 BCE - 330 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1970.6,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-387040
387335,Attic red-figure pottery stamnos depicting a mythological scene,"container > vessel > storage vessel > stamnos, container > vessel > mixing vessel > stamnos",ceramics, - ,"470 BCE - 460 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Europe > Italy > Lazio > Province of Viterbo > Vulci, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1896-1908.G.270,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-387335
387484,Attic red-figure pottery jug depicting Nike,container > vessel > jug > wine-jug > oinochoe,ceramics," - , - ","450 BCE - 430 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Europe > Italy > Campania > Metropolitan City of Naples > Nola, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1896-1908.G.280,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-387484
387566,Attic red-figure pottery lekythos depicting a mythological scene,container > oil-container > perfume bottle > unguent jar > lekythos,ceramics, - ,"470 BCE - 450 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Europe > Italy > Sicily > Province of Caltanissetta > Gela, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1896-1908.G.292,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-387566
387378,Attic black-figure pottery amphora depicting a mythological scene,container > vessel > storage vessel > amphora > type A belly-amphora,ceramics, - ,"520 BCE - 510 BCE - date of creation,Archaic Period (750 - 480 BCE) - date of creation,late 6th century BCE (530 - 501 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted and incised decoration, processed material > ceramic > pottery, marked > [marking techniques] > incised, painted, ",AN1965.118,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-387378
387022,Attic red-figure pottery amphora depicting a Thracian warrior and a youth,container > vessel > storage vessel > amphora > neck-amphora,ceramics, - ,"450 BCE - 430 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1971.867,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-387022
453853,Attic black-figure pottery stemmed cup depicting a battle scene,container > vessel > cup > drinking-cup > stemmed cup > kylix > cup type A,ceramics, - ,"530 BCE - 520 BCE - date of creation,Archaic Period (750 - 480 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted and incised decoration, processed material > ceramic > pottery, marked > [marking techniques] > incised, painted, ",AN1966.954.a,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-453853
455475,Attic black-figure pottery stemmed cup,container > vessel > cup > drinking-cup > stemmed cup > kylix > little master cup > band cup,ceramics, - ,"500 BCE - 490 BCE - date of creation,Archaic Period (750 - 480 BCE) - date of creation","Europe > Italy > Sicily > Province of Agrigento, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted and incised decoration, processed material > ceramic > pottery, marked > [marking techniques] > incised, painted, ",AN1896-1908.G.231,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-455475
387500,Attic black-figure pottery loutrophoros fragment,container > vessel > storage vessel > water jar > loutrophoros,ceramics,,"550 BCE - date of creation,Archaic Period (750 - 480 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted and incised decoration, processed material > ceramic > pottery, marked > [marking techniques] > incised, painted, ",AN1928.574,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-387500
387693,Attic red-figure pottery pyxis lid depicting a hound,"miscellaneous equipment > cover > vessel-cover, container > cosmetic-container > cosmetic-vessel > cosmetic-pot > pyxis > type C pyxis",ceramics,,"430 BCE - 400 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1947.116,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-387693
387707,Attic red-figure pottery mug depicting a scene of daily life,container > vessel > cup > drinking-cup > mug,ceramics,,"480 BCE - 400 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1966.722,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-387707
387713,Attic red-figure pottery chous depicting a domestic scene,container > vessel > jug > wine-jug > oinochoe,ceramics,,"425 BCE - 420 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Europe > Italy > Campania > Metropolitan City of Naples > Cumae, The Greek World > Greece > Attica","find spot, original location","pottery, with painted decoration, processed material > ceramic > pottery, painted, ",AN1937.674,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-387713
471000,Attic black-figure pottery cup depicting a symposiastic scene,container > vessel > cup > drinking-cup > skyphos > cup-skyphos,ceramics," - , - ","490 BCE - 480 BCE - date of creation,Classical Period (Greece) (480 - 323 BCE) - date of creation","Unknown, The Greek World > Greece > Attica","find spot, place of creation","pottery, with painted and incised decoration, processed material > ceramic > pottery, marked > [marking techniques] > incised, painted, ",AN1940.155,Antiquities,https://www.ashmolean.org/collections-online#/item/ash-object-471000
