object_id,title,description,date_created,artist_maker,materials_techniques,dimensions,department,acquisition,period,culture,provenance,references,location,url
69881,Calyx krater: GR.3.1971,"Calyx krater: Side A, Achilles and Penthesileia; Side B, Herakles and Syleus. Attributed to the Pan Painter.",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69881
69682,Lekythos: GR.5.1963,"Lekythos, black-figure; Judgement of Paris, with three female figures, the central one clearly defined as Athena by her helmet, spear and aegis, hurrying after the messenger-god Hermes; grape vines in the field.",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69682
69618,Skyphos: GR.13.1955,"Skyphos, type B, Eros flying, athlete and winning post",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69618
69617,Skyphos: GR.12.1955,"Skyphos, (B) satyr and drinking horn, (A) satyr dancing",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69617
69616,Stemless cup: GR.11.1955,"Stemless cup, athlete with a javelin, stele",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69616
69615,Stemless cup: GR.10.1955,"Stemless cup, athlete",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69615
69611,Column krater: GR.6.1955,"Column krater, (A) youth leaving home, (B) three young men",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69611
69607,Lekythos: GR.2.1955,"Lekythos, Achilles and the body of Hector",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69607
69537,Pelike: GR.6.1952,"Pelike, (A) man and youth (B) youths",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69537
69535,Eye cup: GR.4.1952,"Eye-cup, bilingual, (A) amazon between eyes, bull head (B) nose beteen eyes (I) komos (reveller)",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69535
69533,Hydria: GR.2.1952,"Hydria, boys on horses and on foot, Athena mounting her chariot attended by Hermes and goddesses",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69533
69529,Alabastron: GR.1.1951,"Alabastron, cocks and snake",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69529
69491,Bell krater: GR.6.1943,"Bell-krater, (A) Nike, Castor and Polydeukes, (B) youths",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69491
65626,Lip cup: GR.45.1864,"Lip cup, Little Master, Odysseus hiding under a ram",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/65626
65804,Amphora: GR.52.1865,"Nolan amphora, with Apollo and Artemis",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/65804
69314,Pelike: GR.25.1937,"Pelike, seated king (Aigeus and Theseus), two draped youths",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69314
69311,Neck-amphora: GR.22.1937,"Neck-amphora, (A) Theseus and Procrustes, (B) Eos pursuing youth (Tithonos)",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69311
69249,Stamnos: GR.2.1935,"Stamnos, Medea and the daughters of Pelias",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69249
69111,Aryballos: GR.12.1932,"Aryballos, siren between panthers",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69111
