url,title,museum_number
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.36548,Apulian skyphos,NM49.11
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.86600,Attic black-figure lekythos,NM2011.7
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38807,Attic red figure lekythos,NM47.19
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.40318,Apulian red figure bell krater,NM46.3
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.36549,Apulian red figure oinochoe,NM73.2
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.33473,Apulian red figure bell krater,NM98.42
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38677,Detailed Object Record,NM51.17
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38803,Attic red figure cup,NM46.40
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.37980,Attic black figure lip cup,NM53.14
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.57804,Sicilian skyphoid pyxis,NM57.5.1-2
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.37773,Etrusco Corinthian aryballos with warriors,NM62.797
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.39146,Detailed Object Record,NM98.16
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.32364,Euboean oinochoe,NM85.1
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.37427,Lucanian red figure amphora,NM82.32
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.99452,Black Figure Hydria,NM2013.5
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38813,Attic red figure pelike,NM51.15
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38593,Detailed Object Record,NM46.37
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.36424,Detailed Object Record,NM53.6
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38439,Campanian red figure bell krater by the Nicholson Painter,NM46.1
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38079,Etruscan black figure neck amphora,NM98.21
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38793,Detailed Object Record,NM56.1
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.41255,Apulian red figure fish plate,NM80.48
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.37663,Attic black figure pelike,NM47.7
